Public School Name,District Name,LEA Code,CESA,School Code,School Type,Low Grade,High Grade,Contact,Contact Title,Physical Address,Mailing Address,Mailing City,Mailing Zip,Mailing Zip + 4,Shipping Address,Physical City,County Code,County Name,Phone,Extension,Fax,Email,Website,School Category,Charter,Virtual,District NCES,School NCES,Agency Type Description
Gilman El,Gilman,2135,10,0040,Elementary School,K4,06,Wally  Leipart,Principal,325 N Fifth Ave  Gilman WI  54433,"325 N Fifth Ave Gilman WI  54433  ",Gilman,54433,,"325 N Fifth Ave Gilman WI  54433  ",Gilman,60,Taylor,715-447-8211,302,7154478731,wleipart@gilman.k12.wi.us,www.gilman.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5505280,00567,Public school
Gilman Hi,Gilman,2135,10,0060,High School,07,12,Dean  Lew,Principal,325 N Fifth Ave  Gilman WI  54433,"325 N Fifth Ave Gilman WI  54433  ",Gilman,54433,,"325 N Fifth Ave Gilman WI  54433  ",Gilman,60,Taylor,715-447-8211,305,7154478731,dpeggs@gilman.k12.wi.us,www.gilman.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5505280,00568,Public school
Gilmanton El,Gilmanton,2142,10,0040,Elementary School,K4,04,Kory A Rud,Principal,W756 County Road Z  Gilmanton WI  54743,"PO Box 28 Gilmanton WI  54743-0028  ",Gilmanton,54743,0028,"S889 Larson Rd Gilmanton WI  54743  ",Gilmanton,06,Buffalo,715-946-3158,N/A,7159463474,krud@ghs.k12.wi.us,www.ghs.k12.wi.us,Regular,No,No,5505370,00573,Public school
Gilmanton Hi,Gilmanton,2142,10,0060,High School,09,12,Kory A Rud,Principal,S889 Larson Rd  Gilmanton WI  54743,"PO Box 28 Gilmanton WI  54743-0028  ",Gilmanton,54743,0028,"S889 Larson Rd Gilmanton WI  54743  ",Gilmanton,06,Buffalo,715-946-3158,N/A,7159463474,krud@ghs.k12.wi.us,www.ghs.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5505370,00574,Public school
Gilmanton Mid,Gilmanton,2142,10,0250,Middle School,05,08,Kory A Rud,Principal,S889 Larson Rd  Gilmanton WI  54743,"PO Box 28 Gilmanton WI  54743-0028  ",Gilmanton,54743,0028,"S889 Larson Rd Gilmanton WI  54743  ",Gilmanton,06,Buffalo,715-946-3158,N/A,7159463474,krud@ghs.k12.wi.us,www.ghs.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5505370,02907,Public school
Gilmore Fine Arts Sch,Racine Unified,4620,01,0106,Elementary School,KG,05,Zachary  Jacobsmeier,Principal,815 De Koven Ave  Racine WI  53403-2658,"815 De Koven Ave Racine WI  53403-2658  ",Racine,53403,2658,"815 De Koven Ave Racine WI  53403-2658  ",Racine,51,Racine,262-664-6800,N/A,2626646810,zachary.jacobsmeier@rusd.org,www.rusd.org,Regular,No,Primarily Classroom (Supplemental Virtual),5512360,01608,Public school
Glacial Drumlin Sch,Monona Grove,3675,02,0100,Middle School,05,08,Renee  Tennant,Principal,801 Damascus Tr  Cottage Grove WI  53527,"801 Damascus Tr Cottage Grove WI  53527  ",Cottage Grove,53527,,"801 Damascus Tr Cottage Grove WI  53527  ",Cottage Grove,13,Dane,608-839-8408,N/A,6088398984,renee.tennant@mgschools.net,www.mononagrove.org,Regular,No,Primarily Classroom (Supplemental Virtual),5509810,01293,Public school
Glacier Creek Mid,Middleton-Cross Plains Area,3549,02,0050,Middle School,05,08,Kenneth  Metz,Principal,2800 Military Road  Cross Plains WI  53528,"2800 Military Cross Plains WI  53528  ",Cross Plains,53528,,"2800 Military Rd Cross Plains WI  53528-9224  ",Cross Plains,13,Dane,608-829-9420,N/A,6087985425,tkeeler@mcpasd.k12.wi.us,www.mcpasd.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5509510,00754,Public school
Glacier Edge El,Verona Area,5901,02,0130,Elementary School,KG,05,Theresa  Taylor,Principal,800 Kimball La  Verona WI  53593,"800 Kimball La Verona WI  53593  ",Verona,53593,,"800 Kimball La Verona WI  53593  ",Verona,13,Dane,608-497-2110,N/A,6084972120,taylort@verona.k12.wi.us,www.verona.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5515330,02647,Public school
Glen Hills Mid,Glendale-River Hills,2184,01,0010,Combined Elementary/Secondary School,04,08,Jeffrey  Fleig,Principal,2600 W Mill Rd  Glendale WI  53209-3286,"2600 W Mill Rd Glendale WI  53209-3286  ",Glendale,53209,3286,"2600 W Mill Rd Glendale WI  53209-3286  ",Glendale,40,Milwaukee,414-351-7160,2112,4143510109,jeff.fleig@glendale.k12.wi.us,www.glendale.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5505460,00575,Public school
Glenbrook El,Pulaski Community,4613,07,0040,Elementary School,K4,05,Kurtis  Sufka,Principal,145 W Green Bay St  Pulaski WI  54162-9771,"PO Box 825 Pulaski WI  54162-9771  ",Pulaski,54162,9771,"145 W Green Bay St Pulaski WI  54162-9771  ",Pulaski,05,Brown,920-822-6100,N/A,9208226105,klsufka@pulaskischools.org,www.pulaskischools.org/glenbrook,Regular,No,Primarily Classroom (Supplemental Virtual),5512330,01597,Public school
Glendale El,Madison Metropolitan,3269,02,0255,Elementary School,K4,05,Ben  Ketterer,Principal,1201 Tompkins Dr  Madison WI  53716-3299,"1201 Tompkins Dr Madison WI  53716-3299  ",Madison,53716,3299,"1201 Tompkins Dr Madison WI  53716-3299  ",Madison,13,Dane,608-204-2404,N/A,6082040409,bketterer@madison.k12.wi.us,www.madison.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5508520,00931,Public school
Glenwood City El,Glenwood City,2198,11,0060,Elementary School,K4,05,Betsy  Haltinner,Principal,857 320th St  Glenwood City WI  54013,"850 Maple St Glenwood City WI  54013  ",Glenwood City,54013,,"850 Maple St Glenwood City WI  54013  ",Glenwood City,55,Saint Croix,715-265-4231,7822,7152657129,haltibet@gcsd.k12.wi.us,www.gcsd.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5505520,00586,Public school
Glenwood City Hi,Glenwood City,2198,11,0080,High School,09,12,Patrick  Gretzlock,Principal,850 Maple St  Glenwood City WI  54013,"850 Maple St Glenwood City WI  54013  ",Glenwood City,54013,,"850 Maple St Glenwood City WI  54013  ",Glenwood City,55,Saint Croix,715-265-4266,7471,7152657129,gretzpat@gcsd.k12.wi.us,www.gcsd.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5505520,00587,Public school
Glenwood City Mid,Glenwood City,2198,11,0100,Middle School,06,08,Patrick  Gretzlock,Principal,850 Maple St  Glenwood City WI  54013,"850 Maple St Glenwood City WI  54013  ",Glenwood City,54013,,"850 Maple St Glenwood City WI  54013  ",Glenwood City,55,Saint Croix,715-265-4266,7471,7152657129,gretzpat@gcsd.k12.wi.us,www.gcsd.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5505520,00588,Public school
Glenwood El,Greenfield,2303,01,0100,Elementary School,K4,05,Steven R Newcomer,Principal,3550 S 51st St  Greenfield WI  53220-1598,"3550 S 51st St Greenfield WI  53220-1598  ",Greenfield,53220,1598,"3550 S 51st St Greenfield WI  53220-1598  ",Greenfield,40,Milwaukee,414-545-2280,6101,4145455626,snewcomer@greenfield.k12.wi.us,www.greenfield.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5505940,00652,Public school
Glidden El,Chequamegon,1071,12,0100,Elementary School,K4,03,Kacey  Hanson,Principal,64 S Grant St  Glidden WI  54527,"64 S Grant St Glidden WI  54527  ",Glidden,54527,,"64 S Grant St Glidden WI  54527  ",Glidden,50,Price,715-264-2141,1223,7152643413,khanson@csdk12.net,csdk12.net,Regular,No,Primarily Classroom (Supplemental Virtual),5500058,00590,Public school
Gompers El,Madison Metropolitan,3269,02,0675,Elementary School,K4,05,Sarah  Chaja,Principal,1502 Wyoming Way  Madison WI  53704-1800,"1502 Wyoming Way Madison WI  53704-1800  ",Madison,53704,1800,"1502 Wyoming Way Madison WI  53704-1800  ",Madison,13,Dane,608-204-4523,N/A,6082040413,srchaja@madison.k12.wi.us,www.madison.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5508520,00958,Public school
Goodland El,Racine Unified,4620,01,0122,Elementary School,K4,05,Janet  Colvin,Principal,4800 Graceland Blvd  Racine WI  53406-3603,"4800 Graceland Blvd Racine WI  53406-3603  ",Racine,53406,3603,"4800 Graceland Blvd Racine WI  53406-3603  ",Racine,51,Racine,262-664-6850,N/A,2626646870,janet.colvin@rusd.org,www.rusd.org,Regular,No,Primarily Classroom (Supplemental Virtual),5512360,01617,Public school
Goodman Hi,Goodman-Armstrong Creek,2212,08,0040,High School,07,12,Allison  Space,Principal,1 Falcon Crest  Goodman WI  54125,"PO Box 160 Goodman WI  54125-0160  ",Goodman,54125,0160,"1 Falcon Crest Goodman WI  54125  ",Goodman,38,Marinette,715-336-2575,N/A,7153362576,aspace@goodman.k12.wi.us,www.goodman.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5505580,00592,Public school
Goodman-Armstrong El,Goodman-Armstrong Creek,2212,08,0020,Elementary School,K4,06,Allison  Space,Principal,1 Falcon Crest  Goodman WI  54125,"PO Box 160 Goodman WI  54125-0160  ",Goodman,54125,0160,"1 Falcon Crest Goodman WI  54125  ",Goodman,38,Marinette,715-336-2575,N/A,7153362576,aspace@goodman.k12.wi.us,www.goodman.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5505580,00593,Public school
Goodrich El,Milwaukee,3619,01,0192,Elementary School,K3,05,Sharonda  Harris,Principal,8251 N Celina St  Milwaukee WI  53224-2713,"8251 N Celina St Milwaukee WI  53224-2713  ",Milwaukee,53224,2713,"8251 N Celina St Milwaukee WI  53224-2713  ",Milwaukee,40,Milwaukee,262-236-1500,N/A,2622361515,192@milwaukee.k12.wi.us,www.milwaukee.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5509600,01173,Public school
Grafton Hi,Grafton,2217,01,0040,High School,09,12,Scott  Mantei,High School Principal,1950 Washington St  Grafton WI  53024-2103,"1950 Washington St Grafton WI  53024-2103  ",Grafton,53024,2103,"1950 Washington St Grafton WI  53024-2103  ",Grafton,45,Ozaukee,262-376-5500,N/A,2623765510,smantei@grafton.k12.wi.us,www.grafton.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5505610,02248,Public school
Grand Avenue El,Sauk Prairie,5100,05,0030,Elementary School,03,05,Craig  Trautsch,Principal,225 Grand Ave  Prairie du Sac WI  53578-1507,"225 Grand Ave Prairie du Sac WI  53578-1507  ",Prairie du Sac,53578,1507,"225 Grand Ave Prairie du Sac WI  53578-1507  ",Prairie du Sac,56,Sauk,608-643-1966,N/A,6086435888,craig.trautsch@saukprairieschools.org,www.saukprairieschools.org,Regular,No,No,5513410,01756,Public school
Grand Marsh El,Adams-Friendship Area,0014,05,0140,Elementary School,K4,05,Garret  Gould,Principal,620 County Road E  Grand Marsh WI  53936,"201 W 6th St Friendship WI  53934  ",Friendship,53934,,"620 County Road E Grand Marsh WI  53936  ",Grand Marsh,01,Adams,608-339-6556,1501,6083397306,johnson_m@afasd.net,www.afasd.net,Regular,No,Primarily Classroom (Supplemental Virtual),5500060,00010,Public school
Grandview Hi,Milwaukee,3619,01,0410,High School,09,12,Debi  Harry,Contact Person,2745 S 13TH St  Milwaukee WI  53215,"2745 S 13TH St Milwaukee WI  53215  ",Milwaukee,53215,,"2745 S 13TH St Milwaukee WI  53215  ",Milwaukee,40,Milwaukee,414-672-1168,N/A,4146721273,430@milwaukee.k12.wi.us,www.seedsofhealth.org/grandview/home.html,Alternative,No,Primarily Classroom (Supplemental Virtual),5509600,02577,Public school
Grant El,Kenosha,2793,01,0180,Elementary School,K4,05,Shebaniah  Muhammad,Principal,1716 35th St  Kenosha WI  53140-5206,"1716 35th St Kenosha WI  53140-5206  ",Kenosha,53140,5206,"1716 35th St Kenosha WI  53140-5206  ",Kenosha,30,Kenosha,262-359-6346,N/A,2623596672,smuhamma@kusd.edu,www.kusd.edu,Regular,No,Primarily Classroom (Supplemental Virtual),5507320,00808,Public school
Grant El,Marshfield Unified,3339,05,0040,Elementary School,K4,06,Jeff  Damrau,Principal,425 W Upham St  Marshfield WI  54449-1398,"425 W Upham St Marshfield WI  54449-1398  ",Marshfield,54449,1398,"425 W Upham St Marshfield WI  54449-1398  ",Marshfield,71,Wood,715-384-4747,N/A,7153842727,damrauj@marshfieldschools.org,www.marshfieldschools.org/domain/61,Regular,No,Primarily Classroom (Supplemental Virtual),5508820,01016,Public school
Grant El,Milwaukee,3619,01,0193,Elementary School,K3,08,Thomas  Bruno,Principal,2920 W Grant St  Milwaukee WI  53215-2446,"2920 W Grant St Milwaukee WI  53215-2446  ",Milwaukee,53215,2446,"2920 W Grant St Milwaukee WI  53215-2446  ",Milwaukee,40,Milwaukee,414-902-8000,N/A,4149028015,193@milwaukee.k12.wi.us,www.milwaukee.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5509600,01175,Public school
Grant El,Sheboygan Area,5271,07,0100,Elementary School,PK,05,Patrick  Neils,Principal,1528 N 5th St  Sheboygan WI  53081-2899,"1528 N 5th St Sheboygan WI  53081-2899  ",Sheboygan,53081,2899,"1528 N 5th St Sheboygan WI  53081-2899  ",Sheboygan,59,Sheboygan,920-459-3626,N/A,9204593719,pneils@sasd.net,www.sheboygan.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5513650,01784,Public school
Grant El,Wausau,6223,09,0100,Elementary School,KG,05,Christopher  Nyman,Principal,500 N 4th Ave  Wausau WI  54401-4493,"500 N 4th Ave Wausau WI  54401-4493  ",Wausau,54401,4493,"650 S 7th Ave Wausau WI  54401-5310  ",Wausau,37,Marathon,715-261-0190,N/A,7152612223,cnyman@wausauschools.org,www.wausauschools.org,Regular,No,Primarily Classroom (Supplemental Virtual),5515900,02050,Public school
Grant El,Wisconsin Rapids,6685,05,0060,Elementary School,K4,05,Timothy T Bruns,Principal,8511 County Road WW  Wisconsin Rapids WI  54494-9615,"8511 County Road WW Wisconsin Rapids WI  54494-9615  ",Wisconsin Rapids,54494,9615,"8511 County Road WW Wisconsin Rapids WI  54494-9615  ",Wisconsin Rapids,71,Wood,715-424-6766,2001,7154226384,tim.bruns@wrps.net,www.wrps.org,Regular,No,Primarily Classroom (Supplemental Virtual),5517070,02205,Public school
Granton El,Granton Area,2226,10,0020,Elementary School,K4,05,Scott  Woodington,Principal,217 N Main St  Granton WI  54436-7835,"217 N Main St Granton WI  54436-7835  ",Granton,54436,7835,"217 N Main St Granton WI  54436-7835  ",Granton,10,Clark,715-238-7292,0,7152387288,woodingtons@granton.k12.wi.us,www.granton.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5505640,00599,Public school
Granton Hi,Granton Area,2226,10,0040,High School,06,12,Julie  Kolarik,Principal,217 N Main St  Granton WI  54436-7835,"217 N Main St Granton WI  54436-7835  ",Granton,54436,7835,"217 N Main St Granton WI  54436-7835  ",Granton,10,Clark,715-238-7175,1,7152387827,kolarikj@granton.k12.wi.us,www.granton.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5505640,00600,Public school
Grantosa Drive El,Milwaukee,3619,01,0196,Elementary School,K3,08,Kirsten  Brown,Principal,4850 N 82nd St  Milwaukee WI  53218-3604,"4850 N 82nd St Milwaukee WI  53218-3604  ",Milwaukee,53218,3604,"4850 N 82nd St Milwaukee WI  53218-3604  ",Milwaukee,40,Milwaukee,414-393-4400,N/A,4143934415,196@milwaukee.k12.wi.us,www.milwaukee.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5509600,01176,Public school
Grantsburg El,Grantsburg,2233,11,0060,Elementary School,01,03,Elizabeth  Olson,Principal,475 E James Ave  Grantsburg WI  54840,"480 E James Ave Grantsburg WI  54840-7959  ",Grantsburg,54840,7959,"475 E James Ave Grantsburg WI  54840  ",Grantsburg,07,Burnett,715-463-2320,106,7154635158,elizabeth.olson@gk12.net,www.gk12.net,Regular,No,Primarily Classroom (Supplemental Virtual),5505670,00601,Public school
Grantsburg Hi,Grantsburg,2233,11,0080,High School,09,12,Joshua  Watt,Principal,480 E James Ave  Grantsburg WI  54840-7959,"480 E James Ave Grantsburg WI  54840-7959  ",Grantsburg,54840,7959,"480 E James Ave Grantsburg WI  54840-7959  ",Grantsburg,07,Burnett,715-463-2531,158,7154635068,jwatt@gk12.net,www.gk12.net,Regular,No,Primarily Classroom (Supplemental Virtual),5505670,00602,Public school
Grantsburg Mid,Grantsburg,2233,11,0100,Combined Elementary/Secondary School,04,08,Lisa  Danielson,Principal,500 E James Ave  Grantsburg WI  54840,"480 E James Ave Grantsburg WI  54840-7959  ",Grantsburg,54840,7959,"500 E James Ave Grantsburg WI  54840  ",Grantsburg,07,Burnett,715-463-2455,N/A,7154633209,lisa.danielson@gk12.net,www.gk12.net,Regular,No,Primarily Classroom (Supplemental Virtual),5505670,00603,Public school
Grayside El,Mauston,3360,05,0100,Elementary School,03,05,Bobbi  Steele,Principal,510 Grayside Ave  Mauston WI  53948-1952,"510 Grayside Ave Mauston WI  53948-1952  ",Mauston,53948,1952,"510 Grayside Ave Mauston WI  53948-1952  ",Mauston,29,Juneau,608-847-5616,2249,6088472496,bsteele@maustonschools.org,www.maustonschools.org,Regular,No,Primarily Classroom (Supplemental Virtual),5508850,02574,Public school
Great Lakes El,Superior,5663,12,0300,Elementary School,K4,05,Ryan  Haroldson,Principal,129 N 28th St E  Superior WI  54880-6548,"129 N 28th St E Superior WI  54880-6548  ",Superior,54880,6548,"129 N 28th St E Superior WI  54880-6548  ",Superior,16,Douglas,715-395-8500,N/A,7153958505,ryan.haroldson@superior.k12.wi.us,www.superior.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5514670,00687,Public school
Green Bay Avenue Sch,Milwaukee,3619,01,0120,Elementary School,K3,05,Richard  Spates,Principal,3872 N 8th St  Milwaukee WI  53206-3303,"3872 N 8th St Milwaukee WI  53206-3303  ",Milwaukee,53206,3303,"3872 N 8th St Milwaukee WI  53206-3303  ",Milwaukee,40,Milwaukee,414-914-9200,N/A,4142632902,199@milwaukee.k12.wi.us,www5.milwaukee.k12.wi.us/school/greenbay,Regular,No,Primarily Classroom (Supplemental Virtual),5509600,03050,Public school
Green Bay Head Start,Green Bay Area Public,2289,07,0110,Elementary School,K4,KG,Sarah  Jansen,Principal,1150 Bellevue Street  Green Bay WI  54302,"1150 Bellevue Street Green Bay WI  54302  ",Green Bay,54302,,"1150 Bellevue Street Green Bay WI  54302  ",Green Bay,05,Brown,920-448-2226,N/A,9204482252,smjansen@gbaps.org,www.gbaps.org,Regular,No,Primarily Classroom (Supplemental Virtual),5505820,02589,Public school
Green Lake El,Green Lake,2310,06,0020,Elementary School,K4,06,Gina  Baxter,Principal,612 Mill St  Green Lake WI  54941,"PO Box 369 Green Lake WI  54941-0369  ",Green Lake,54941,0369,"612 Mill St Green Lake WI  54941  ",Green Lake,24,Green Lake,920-294-6411,1124,9202946589,gbaxter@glsd.k12.wi.us,www.glsd.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5505880,00646,Public school
Green Lake Hi,Green Lake,2310,06,0040,High School,07,12,Mary  Allen,Principal,612 Mill St  Green Lake WI  54941,"PO Box 369 Green Lake WI  54941-0369  ",Green Lake,54941,0369,"612 Mill St Green Lake WI  54941  ",Green Lake,24,Green Lake,920-294-6411,1124,9202946589,mallen1@glsd.k12.wi.us,www.glsd.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5505880,00647,Public school
Green Tree El,West Bend,6307,06,0070,Elementary School,PK,04,John  Graf,Principal,1330 Green Tree Rd  West Bend WI  53090-1799,"1330 Green Tree Rd West Bend WI  53090-1799  ",West Bend,53090,1799,"1330 Green Tree Rd West Bend WI  53090-1799  ",West Bend,66,Washington,262-335-5521,N/A,2623358243,jgraf@wbsd-schools.org,www.west-bend.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5516290,02130,Public school
Greendale Hi,Greendale,2296,01,0060,High School,09,12,Steven J Lodes,Principal,6801 Southway  Greendale WI  53129-2498,"6801 Southway Greendale WI  53129-2498  ",Greendale,53129,2498,"6801 Southway Greendale WI  53129-2498  ",Greendale,40,Milwaukee,414-423-0110,N/A,4144231667,steve.lodes@greendale.k12.wi.us,www.greendale.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5505910,02254,Public school
Greendale Mid,Greendale,2296,01,0080,Middle School,06,08,John  Weiss,Principal,6800 Schoolway  Greendale WI  53129-1819,"6800 Schoolway Greendale WI  53129-1819  ",Greendale,53129,1819,"6800 Schoolway Greendale WI  53129-1819  ",Greendale,40,Milwaukee,414-423-2800,N/A,4144232806,john.weiss@greendale.k12.wi.us,www.greendale.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5505910,02255,Public school
Greenfield Bilingual,Milwaukee,3619,01,0202,Elementary School,K3,08,Adalberto  Salas Barreto,Principal,1711 S 35th St  Milwaukee WI  53215-2004,"1711 S 35th St Milwaukee WI  53215-2004  ",Milwaukee,53215,2004,"1711 S 35th St Milwaukee WI  53215-2004  ",Milwaukee,40,Milwaukee,414-902-8200,N/A,4149028215,202@milwaukee.k12.wi.us,www.milwaukee.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5509600,01179,Public school
Greenfield El,Baldwin-Woodville Area,0231,11,0070,Elementary School,K4,05,Tiffanie  Grodevant,Principal,1160 14th Ave  Baldwin WI  54002,"1160 14th Ave Baldwin WI  54002  ",Baldwin,54002,,"1160 14th Ave Baldwin WI  54002  ",Baldwin,55,Saint Croix,715-684-3334,2106,7156845109,tnigbor@bwsd.k12.wi.us,www.bwsd.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5500720,00095,Public school
Greenfield Hi,Greenfield,2303,01,0120,High School,09,12,Paul  Thusius,Principal,4800 S 60th St  Greenfield WI  53220-4699,"4800 S 60th St Greenfield WI  53220-4699  ",Greenfield,53220,4699,"4800 S 60th St Greenfield WI  53220-4699  ",Greenfield,40,Milwaukee,414-281-6200,2410,4142818860,pthusius@greenfield.k12.wi.us,www.greenfield.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5505940,00653,Public school
Greenfield Mid,Greenfield,2303,01,0130,Middle School,06,08,Brad  Iding,Principal,3200 W Barnard Ave  Greenfield WI  53221-2683,"3200 W Barnard Ave Greenfield WI  53221-2683  ",Greenfield,53221,2683,"3200 W Barnard Ave Greenfield WI  53221-2683  ",Greenfield,40,Milwaukee,414-282-4700,3310,4142821017,biding@greenfield.k12.wi.us,www.greenfield.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5505940,00654,Public school
Greenland El,Oconomowoc Area,4060,01,0060,Elementary School,K4,04,Shannon  McCaffery,Principal,440 Coolidge St  Oconomowoc WI  53066-2808,"440 Coolidge St Oconomowoc WI  53066-2808  ",Oconomowoc,53066,2808,"440 Coolidge St Oconomowoc WI  53066-2808  ",Oconomowoc,67,Waukesha,262-560-8105,N/A,2625608118,mccaffes@oasd.org,www.oasd.org,Regular,No,Primarily Classroom (Supplemental Virtual),5510890,01418,Public school
Greenville El,Hortonville Area,2583,06,0010,Elementary School,K4,04,David  Harris,Principal,W6822 Greenridge Dr  Greenville WI  54942-9645,"W6822 Greenridge Dr Greenville WI  54942-9645  ",Greenville,54942,9645,"W6822 Greenridge Dr Greenville WI  54942-9645  ",Greenville,44,Outagamie,920-757-6971,N/A,9207576972,davidharris@hasd.org,www.hasd.org,Regular,No,Primarily Classroom (Supplemental Virtual),5506600,02407,Public school
Greenville Mid,Hortonville Area,2583,06,0210,Middle School,05,08,Travis  Lawrence,Principal,N1450 FawnRidge Dr  Greenville WI  54942,"N1450 FawnRidge Dr Greenville WI  54942  ",Greenville,54942,,"N1450 FawnRidge Dr Greenville WI  54942  ",Greenville,44,Outagamie,920-757-7140,N/A,9207577141,travislawrence@hasd.org,www.hasd.org,Regular,No,Primarily Classroom (Supplemental Virtual),5506600,02573,Public school
Greenwood El,Greenwood,2394,10,0040,Elementary School,K4,06,Joe  Green,Principal,700 E Division St  Greenwood WI  54437-9330,"PO Box 310 Greenwood WI  54437-0310  ",Greenwood,54437,0310,"700 E Division St Greenwood WI  54437-9330  ",Greenwood,10,Clark,715-267-7211,5522,7152677209,jogreen@greenwood.k12.wi.us,www.greenwood.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5505970,00656,Public school
Greenwood El,River Falls,4893,11,0020,Elementary School,KG,05,Nate  Schurman,Principal,982 E Division St  River Falls WI  54022,"982 E Division St River Falls WI  54022  ",River Falls,54022,,"982 E Division St River Falls WI  54022  ",River Falls,47,Pierce,715-425-1810,N/A,7154250783,nate.schurman@rfsd.k12.wi.us,www.rfsd.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5513050,01722,Public school
Greenwood Hi,Greenwood,2394,10,0060,High School,07,12,Todd M Felhofer,Principal,306 West Central Ave  Greenwood WI  54437,"PO Box 310 Greenwood WI  54437-0310  ",Greenwood,54437,0310,"306 West Central Ave Greenwood WI  54437  ",Greenwood,10,Clark,715-267-6101,2228,7152676113,tofelhofer@greenwood.k12.wi.us,www.greenwood.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5505970,00657,Public school
Gresham El,Gresham,2415,08,0100,Elementary School,K4,05,Newell Ewers Haffner,Principal,501 Schabow St  Gresham WI  54128-9505,"501 Schabow St Gresham WI  54128-9505  ",Gresham,54128,9505,"501 Schabow St Gresham WI  54128-9505  ",Gresham,58,Shawano,715-787-3211,300,7157873951,haffnen@gresham.k12.wi.us,www.gresham.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5500056,02748,Public school
Gresham Hi,Gresham,2415,08,0400,High School,06,12,Newell Ewers Haffner,Principal,501 Schabow St  Gresham WI  54128-9505,"501 Schabow St Gresham WI  54128-9505  ",Gresham,54128,9505,"501 Schabow St Gresham WI  54128-9505  ",Gresham,58,Shawano,715-787-3211,300,7157873951,haffnen@gresham.k12.wi.us,www.gresham.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5500056,02740,Public school
Grewenow El,Kenosha,2793,01,0220,Elementary School,K4,05,Joseph  Sellenheim,Principal,7714 20th Ave  Kenosha WI  53143-5817,"7714 20th Ave Kenosha WI  53143-5817  ",Kenosha,53143,5817,"7714 20th Ave Kenosha WI  53143-5817  ",Kenosha,30,Kenosha,262-359-6362,N/A,2623597706,jsellenh@kusd.edu,www.kusd.edu,Regular,No,Primarily Classroom (Supplemental Virtual),5507320,02260,Public school
Groppi Hi,Milwaukee,3619,01,0236,High School,09,12,Phillip  Rhymes,APIC,1312 N 27th St  Milwaukee WI  53208-2408,"1312 N 27th St Milwaukee WI  53208-2408  ",Milwaukee,53208,2408,"1312 N 27th St Milwaukee WI  53208-2408  ",Milwaukee,40,Milwaukee,414-934-8200,N/A,4149348215,019@milwaukee.k12.wi.us,www.milwaukee.k12.wi.us,Alternative,No,Primarily Classroom (Supplemental Virtual),5509600,00963,Public school
Grove El,Wisconsin Rapids,6685,05,0080,Elementary School,K4,05,Tina  Wallner,Principal,471 Grove Ave  Wisconsin Rapids WI  54494-6279,"471 Grove Ave Wisconsin Rapids WI  54494-6279  ",Wisconsin Rapids,54494,6279,"471 Grove Ave Wisconsin Rapids WI  54494-6279  ",Wisconsin Rapids,71,Wood,715-424-6769,2102,7154226325,tina.wallner@wrps.net,www.wrps.org,Regular,No,Primarily Classroom (Supplemental Virtual),5517070,02206,Public school
