DISTRICT_CODE,SCHOOL_CODE,Juniors Last Year,Seniors Last Year,SCHOOL_NAME,DISTRICT_NAME,Juniors This Year,Seniors This Year,Public School Name,District Name,LEA Code,CESA,School Code,School Type,Low Grade,High Grade,Contact,Contact Title,Physical Address,Mailing Address,Mailing City,Mailing Zip,Mailing Zip + 4,Shipping Address,Physical City,County Code,County Name,Phone,Extension,Fax,Email,Website,School Category,Charter,Virtual,District NCES,School NCES,Agency Type Description
1736,40.0,31,29,Fall River High,Fall River,34,32,Fall River Hi,Fall River,1736,5,40,High School,06,12,Brian  Zacho,Principal,150 Bradley St  Fall River WI  53932,PO Box 116 Fall River WI  53932-0116  ,Fall River,53932.0,116.0,150 Bradley St Fall River WI  53932  ,Fall River,11,Columbia,920-484-3333,266.0,9204843600.0,bzacho@fallriver.k12.wi.us,www.fallriver.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5504530.0,484.0,Public school
1813,40.0,53,64,Fennimore High,Fennimore Community,64,61,Fennimore Hi,Fennimore Community,1813,3,40,High School,09,12,Daniel  Bredeson,Principal,510 7th St  Fennimore WI  53809-1599,510 7th St Fennimore WI  53809-1599  ,Fennimore,53809.0,1599.0,510 7th St Fennimore WI  53809-1599  ,Fennimore,22,Grant,608-822-3245,,6088223247.0,bredesond@fennimore.k12.wi.us,www.fennimore.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5504590.0,486.0,Public school
5757,40.0,35,43,Flambeau High,Flambeau,40,46,Flambeau Hi,Flambeau,5757,10,40,High School,09,12,Erica  Schley,Principal,N4540 County Road I  Tony WI  54563,PO Box 86 Tony WI  54563-0086  ,Tony,54563.0,86.0,N4540 County Road I Tony WI  54563  ,Tony,54,Rusk,715-532-5559,,7155325405.0,erica.schley@flambeauschools.org,www.flambeau.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5514970.0,1951.0,Public school
1855,60.0,31,18,Florence High,Florence County,16,30,Florence Hi,Florence County,1855,8,60,High School,09,12,Brandon  Jerue,Principal,425 Olive Ave  Florence WI  54121,PO Box 440 Florence WI  54121-0440  ,Florence,54121.0,440.0,425 Olive Ave Florence WI  54121  ,Florence,19,Florence,715-528-3215,1201.0,7155285338.0,jerueb@myflorence.org,www.myflorence.org,Regular,No,Primarily Classroom (Supplemental Virtual),5504650.0,490.0,Public school
1862,140.0,561,530,Fond du Lac High,Fond du Lac,569,515,Fond du Lac Hi,Fond du Lac,1862,6,140,High School,09,12,Matthew  Steinbarth,Principal,801 Campus Dr  Fond du Lac WI  54935-4995,801 Campus Dr Fond du Lac WI  54935-4995  ,Fond du Lac,54935.0,4995.0,801 Campus Dr Fond du Lac WI  54935-4995  ,Fond du Lac,20,Fond du Lac,920-929-2740,,9209296941.0,steinbarthm@fonddulac.k12.wi.us,www.fonddulac.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5504680.0,498.0,Public school
1883,80.0,241,225,Fort Atkinson High,Fort Atkinson,241,217,Fort Atkinson Hi,Fort Atkinson,1883,2,80,High School,09,12,Dan  Halvorsen,Principal,925 Lexington Blvd  Fort Atkinson WI  53538-1092,925 Lexington Blvd Fort Atkinson WI  53538-1092  ,Fort Atkinson,53538.0,1092.0,925 Lexington Blvd Fort Atkinson WI  53538-1092  ,Fort Atkinson,28,Jefferson,920-563-7811,1103.0,9205637810.0,halvorsend@fortschools.org,www.fortschools.org,Regular,No,Primarily Classroom (Supplemental Virtual),5504740.0,510.0,Public school
1900,60.0,389,358,Franklin High,Franklin Public,370,402,Franklin Hi,Franklin Public,1900,1,60,High School,09,12,Michael  Vuolo,Principal,8222 S 51st St  Franklin WI  53132-9293,8222 S 51st St Franklin WI  53132-9293  ,Franklin,53132.0,9293.0,8222 S 51st St Franklin WI  53132-9293  ,Franklin,40,Milwaukee,414-817-5538,,4144210558.0,michael.vuolo@franklin.k12.wi.us,www.franklin.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5504830.0,522.0,Public school
1900,400.0,46,6,Milwaukee County Correctional Facility South,Franklin Public,40,9,MilwCounty Corrctnl Fac South,Franklin Public,1900,1,400,High School,09,12,Umar  Tosheeb,Contact Person,8885 S 68th St  Franklin WI  53132,8885 S 68th St Franklin WI  53132  ,Franklin,53132.0,,8255 W Forest Hill Ave Franklin WI  53132  ,Franklin,40,Milwaukee,414-427-4704,,4144274704.0,umar.tosheeb@franklin.k12.wi.us,,Alternative,No,Primarily Classroom (Supplemental Virtual),5504830.0,2685.0,Public school
1939,40.0,39,36,Frederic 6-12 School,Frederic,32,22,Frederic 6-12 Sch,Frederic,1939,11,40,High School,06,12,Erin  Hansford,Principal,1437 Clam Falls Dr  Frederic WI  54837,1437 Clam Falls Dr Frederic WI  54837  ,Frederic,54837.0,,1437 Clam Falls Dr Frederic WI  54837  ,Frederic,48,Polk,715-327-4223,,7153278655.0,hansforde@frederic.k12.wi.us,www.frederic.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5504860.0,526.0,Public school
1953,60.0,118,142,Freedom High,Freedom Area,139,147,Freedom Hi,Freedom Area,1953,6,60,High School,09,12,Kurt  Erickson,Principal,N4021 County Road E  Freedom WI  54130-7593,N4021 County Road E Freedom WI  54130-7593  ,Freedom,54130.0,7593.0,N4021 County Road E Freedom WI  54130-7593  ,Freedom,44,Outagamie,920-788-7940,1301.0,9207887700.0,kerickson@freedomschools.k12.wi.us,www.freedomschools.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5504920.0,533.0,Public school
2009,40.0,104,108,Galesville-Ettrick-Trempealeau High,Galesville-Ettrick-Trempealeau,108,102,Gale-Ettrick-Tremp Hi,Galesville-Ettrick-Trempealeau,2009,4,40,High School,09,12,Troy  White,Principal,17511 N Main  Galesville WI  54630,PO Box 4000 Galesville WI  54630-4000  ,Galesville,54630.0,4000.0,17511 N Main Galesville WI  54630  ,Galesville,61,Trempealeau,608-582-2291,1420.0,6085824263.0,troywhite@getschools.k12.wi.us,www.getsd.org,Regular,No,Primarily Classroom (Supplemental Virtual),5504960.0,536.0,Public school
2058,180.0,373,346,Germantown High,Germantown,347,333,Germantown Hi,Germantown,2058,1,180,High School,09,12,Joel  Farren,Principal,W180N11501 River Ln  Germantown WI  53022-3198,W180N11501 River Ln Germantown WI  53022-3198  ,Germantown,53022.0,3198.0,W180N11501 River Ln Germantown WI  53022-3198  ,Germantown,66,Washington,262-253-3405,,2622533494.0,jfarren@gsdwi.org,www.germantownschools.org,Regular,No,No,5505160.0,557.0,Public school
2114,120.0,57,47,Gibraltar High,Gibraltar Area,45,44,Gibraltar Hi,Gibraltar Area,2114,7,120,High School,09,12,Gereon  Methner,Principal,3924 State Highway 42  Fish Creek WI  54212,3924 State Highway 42 Fish Creek WI  54212  ,Fish Creek,54212.0,,3924 State Highway 42 Fish Creek WI  54212  ,Fish Creek,15,Door,920-868-3284,269.0,9208682714.0,gmethner@gibraltar.k12.wi.us,www.gibraltar.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5505220.0,561.0,Public school
2128,20.0,37,49,Gillett High,Gillett,46,28,Gillett Hi,Gillett,2128,8,20,High School,09,12,Jason  Dreier,Principal,208 W Main St  Gillett WI  54124,PO Box 227 Gillett WI  54124-0227  ,Gillett,54124.0,227.0,208 W Main St Gillett WI  54124  ,Gillett,42,Oconto,920-855-2137,1004.0,9208556600.0,jdreier@gillett.k12.wi.us,www.gillett.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5505250.0,564.0,Public school
2135,60.0,28,29,Gilman High,Gilman,28,22,Gilman Hi,Gilman,2135,10,60,High School,07,12,Dean  Lew,Principal,325 N Fifth Ave  Gilman WI  54433,325 N Fifth Ave Gilman WI  54433  ,Gilman,54433.0,,325 N Fifth Ave Gilman WI  54433  ,Gilman,60,Taylor,715-447-8211,305.0,7154478731.0,dpeggs@gilman.k12.wi.us,www.gilman.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5505280.0,568.0,Public school
2142,60.0,15,7,Gilmanton High,Gilmanton,7,13,Gilmanton Hi,Gilmanton,2142,10,60,High School,09,12,Kory A Rud,Principal,S889 Larson Rd  Gilmanton WI  54743,PO Box 28 Gilmanton WI  54743-0028  ,Gilmanton,54743.0,28.0,S889 Larson Rd Gilmanton WI  54743  ,Gilmanton,6,Buffalo,715-946-3158,,7159463474.0,krud@ghs.k12.wi.us,www.ghs.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5505370.0,574.0,Public school
2198,80.0,46,54,Glenwood City High,Glenwood City,50,48,Glenwood City Hi,Glenwood City,2198,11,80,High School,09,12,Patrick  Gretzlock,Principal,850 Maple St  Glenwood City WI  54013,850 Maple St Glenwood City WI  54013  ,Glenwood City,54013.0,,850 Maple St Glenwood City WI  54013  ,Glenwood City,55,Saint Croix,715-265-4266,7471.0,7152657129.0,gretzpat@gcsd.k12.wi.us,www.gcsd.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5505520.0,587.0,Public school
2212,40.0,8,10,Goodman High,Goodman-Armstrong Creek,11,6,Goodman Hi,Goodman-Armstrong Creek,2212,8,40,High School,07,12,Allison  Space,Principal,1 Falcon Crest  Goodman WI  54125,PO Box 160 Goodman WI  54125-0160  ,Goodman,54125.0,160.0,1 Falcon Crest Goodman WI  54125  ,Goodman,38,Marinette,715-336-2575,,7153362576.0,aspace@goodman.k12.wi.us,www.goodman.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5505580.0,592.0,Public school
2217,40.0,202,172,Grafton High,Grafton,178,192,Grafton Hi,Grafton,2217,1,40,High School,09,12,Scott  Mantei,High School Principal,1950 Washington St  Grafton WI  53024-2103,1950 Washington St Grafton WI  53024-2103  ,Grafton,53024.0,2103.0,1950 Washington St Grafton WI  53024-2103  ,Grafton,45,Ozaukee,262-376-5500,,2623765510.0,smantei@grafton.k12.wi.us,www.grafton.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5505610.0,2248.0,Public school
2226,40.0,20,12,Granton High,Granton Area,9,17,Granton Hi,Granton Area,2226,10,40,High School,06,12,Julie  Kolarik,Principal,217 N Main St  Granton WI  54436-7835,217 N Main St Granton WI  54436-7835  ,Granton,54436.0,7835.0,217 N Main St Granton WI  54436-7835  ,Granton,10,Clark,715-238-7175,1.0,7152387827.0,kolarikj@granton.k12.wi.us,www.granton.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5505640.0,600.0,Public school
2233,80.0,70,57,Grantsburg High,Grantsburg,57,70,Grantsburg Hi,Grantsburg,2233,11,80,High School,09,12,Joshua  Watt,Principal,480 E James Ave  Grantsburg WI  54840-7959,480 E James Ave Grantsburg WI  54840-7959  ,Grantsburg,54840.0,7959.0,480 E James Ave Grantsburg WI  54840-7959  ,Grantsburg,7,Burnett,715-463-2531,158.0,7154635068.0,jwatt@gk12.net,www.gk12.net,Regular,No,Primarily Classroom (Supplemental Virtual),5505670.0,602.0,Public school
2233,400.0,132,130,iForward,Grantsburg,127,139,iForward,Grantsburg,2233,11,400,Combined Elementary/Secondary School,06,12,Billy  Beesley,Principal,480 E James Ave  Grantsburg WI  54840-7959,480 E James Ave Grantsburg WI  54840-7959  ,Grantsburg,54840.0,7959.0,480 E James Ave Grantsburg WI  54840-7959  ,Grantsburg,7,Burnett,715-997-3339,,7154636677.0,billy.beesley@iforwardwisconsin.com,www.gk12.net,Regular,Charter,Exclusively Virtual,5505670.0,2704.0,Public school
2289,40.0,53,10,Bay View,Green Bay Area Public,12,4,Bay View,Green Bay Area Public,2289,7,40,Combined Elementary/Secondary School,K4,12,Renee S Every,Principal,325 N Roosevelt St  Green Bay WI  54301-4731,325 N Roosevelt St Green Bay WI  54301-4731  ,Green Bay,54301.0,4731.0,325 N Roosevelt St Green Bay WI  54301-4731  ,Green Bay,5,Brown,920-448-2150,,9202727045.0,rsevery@gbaps.org,www.gbaps.org,Alternative,No,Primarily Classroom (Supplemental Virtual),5505820.0,612.0,Public school
2289,800.0,103,13,Dr Rosa Minoka-Hill School,Green Bay Area Public,115,7,Minoka-Hill Sch,Green Bay Area Public,2289,7,800,Combined Elementary/Secondary School,K4,12,Renee S Every,Principal,325 N Roosevelt St  Green Bay WI  54301-4731,325 N Roosevelt St Green Bay WI  54301-4731  ,Green Bay,54301.0,4731.0,325 N Roosevelt St Green Bay WI  54301-4731  ,Green Bay,5,Brown,920-448-2150,,9202727045.0,rsevery@gbaps.org,www.gbaps.org,Alternative,No,Primarily Classroom (Supplemental Virtual),5505820.0,3009.0,Public school
2289,180.0,326,299,East High,Green Bay Area Public,281,339,East Hi,Green Bay Area Public,2289,7,180,High School,09,12,Lori A Frerk,Principal,1415 E Walnut St  Green Bay WI  54301-4399,1415 E Walnut St Green Bay WI  54301-4399  ,Green Bay,54301.0,4399.0,1415 E Walnut St Green Bay WI  54301-4399  ,Green Bay,5,Brown,920-448-2090,,9204482166.0,lafrerk@gbaps.org,www.gbaps.org,Regular,No,Primarily Classroom (Supplemental Virtual),5505820.0,618.0,Public school
2289,445.0,11,13,John Dewey Academy of Learning,Green Bay Area Public,8,14,John Dewey Acad of Learning,Green Bay Area Public,2289,7,445,High School,08,12,Jen  Agamaite,Coordinator,1420 Harvey St  Green Bay WI  54302-1918,1420 Harvey St Green Bay WI  54302-1918  ,Green Bay,54302.0,1918.0,1420 Harvey St Green Bay WI  54302-1918  ,Green Bay,5,Brown,920-448-2232,,9204482188.0,jmagamaite@gbaps.org,www.gbaps.org,Regular,Charter,Primarily Classroom (Supplemental Virtual),5505820.0,2857.0,Public school
2289,540.0,520,565,Preble High,Green Bay Area Public,542,512,Preble Hi,Green Bay Area Public,2289,7,540,High School,09,12,Natasha  Rowell,Principal,2222 Deckner Ave  Green Bay WI  54302-4407,2222 Deckner Ave Green Bay WI  54302-4407  ,Green Bay,54302.0,4407.0,2222 Deckner Ave Green Bay WI  54302-4407  ,Green Bay,5,Brown,920-391-2400,,9203912530.0,nrrowell@gbaps.org,www.gbaps.org,Regular,No,Primarily Classroom (Supplemental Virtual),5505820.0,636.0,Public school
2289,600.0,252,315,Southwest High,Green Bay Area Public,312,286,Southwest Hi,Green Bay Area Public,2289,7,600,High School,09,12,Rodney  Bohm,Principal,1331 Packerland Dr  Green Bay WI  54304-1399,1331 Packerland Dr Green Bay WI  54304-1399  ,Green Bay,54304.0,1399.0,1331 Packerland Dr Green Bay WI  54304-1399  ,Green Bay,5,Brown,920-492-2650,,9204925561.0,rabohm@gbaps.org,www.gbaps.org,Regular,No,Primarily Classroom (Supplemental Virtual),5505820.0,638.0,Public school
2289,720.0,209,204,West High,Green Bay Area Public,216,195,West Hi,Green Bay Area Public,2289,7,720,High School,09,12,Michelle  Jacobson,Principal,966 Shawano Ave  Green Bay WI  54303-2999,966 Shawano Ave Green Bay WI  54303-2999  ,Green Bay,54303.0,2999.0,966 Shawano Ave Green Bay WI  54303-2999  ,Green Bay,5,Brown,920-492-2600,,9204922641.0,maflaten@gbaps.org,www.gbaps.org,Regular,No,Primarily Classroom (Supplemental Virtual),5505820.0,644.0,Public school
2310,40.0,21,19,Green Lake High,Green Lake,24,22,Green Lake Hi,Green Lake,2310,6,40,High School,07,12,Mary  Allen,Principal,612 Mill St  Green Lake WI  54941,PO Box 369 Green Lake WI  54941-0369  ,Green Lake,54941.0,369.0,612 Mill St Green Lake WI  54941  ,Green Lake,24,Green Lake,920-294-6411,1124.0,9202946589.0,mallen1@glsd.k12.wi.us,www.glsd.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5505880.0,647.0,Public school
2296,60.0,237,237,Greendale High,Greendale,239,225,Greendale Hi,Greendale,2296,1,60,High School,09,12,Steven J Lodes,Principal,6801 Southway  Greendale WI  53129-2498,6801 Southway Greendale WI  53129-2498  ,Greendale,53129.0,2498.0,6801 Southway Greendale WI  53129-2498  ,Greendale,40,Milwaukee,414-423-0110,,4144231667.0,steve.lodes@greendale.k12.wi.us,www.greendale.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5505910.0,2254.0,Public school
2303,120.0,321,300,Greenfield High,Greenfield,302,274,Greenfield Hi,Greenfield,2303,1,120,High School,09,12,Paul  Thusius,Principal,4800 S 60th St  Greenfield WI  53220-4699,4800 S 60th St Greenfield WI  53220-4699  ,Greenfield,53220.0,4699.0,4800 S 60th St Greenfield WI  53220-4699  ,Greenfield,40,Milwaukee,414-281-6200,2410.0,4142818860.0,pthusius@greenfield.k12.wi.us,www.greenfield.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5505940.0,653.0,Public school
2394,60.0,29,42,Greenwood High,Greenwood,42,33,Greenwood Hi,Greenwood,2394,10,60,High School,07,12,Todd M Felhofer,Principal,306 West Central Ave  Greenwood WI  54437,PO Box 310 Greenwood WI  54437-0310  ,Greenwood,54437.0,310.0,306 West Central Ave Greenwood WI  54437  ,Greenwood,10,Clark,715-267-6101,2228.0,7152676113.0,tofelhofer@greenwood.k12.wi.us,www.greenwood.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5505970.0,657.0,Public school
2415,400.0,27,21,Gresham High,Gresham,21,28,Gresham Hi,Gresham,2415,8,400,High School,06,12,Newell Ewers Haffner,Principal,501 Schabow St  Gresham WI  54128-9505,501 Schabow St Gresham WI  54128-9505  ,Gresham,54128.0,9505.0,501 Schabow St Gresham WI  54128-9505  ,Gresham,58,Shawano,715-787-3211,300.0,7157873951.0,haffnen@gresham.k12.wi.us,www.gresham.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5500056.0,2740.0,Public school
2420,40.0,351,366,Hamilton High,Hamilton,371,398,Hamilton Hi,Hamilton,2420,1,40,High School,09,12,Candis  Mongan,Principal,W220N6151 Town Line Rd  Sussex WI  53089,W220N6151 Town Line Rd Sussex WI  53089  ,Sussex,53089.0,,W220N6151 Town Line Rd Sussex WI  53089  ,Sussex,67,Waukesha,262-246-6471,1104.0,2622461885.0,mongca@hamilton.k12.wi.us,www.hamilton.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5506030.0,664.0,Public school
2436,20.0,377,344,Hartford High,Hartford UHS,360,352,Hartford Hi,Hartford UHS,2436,6,20,High School,09,12,Daniel  Dobner,Principal,805 Cedar St  Hartford WI  53027-2399,805 Cedar St Hartford WI  53027-2399  ,Hartford,53027.0,2399.0,805 Cedar St Hartford WI  53027-2399  ,Hartford,66,Washington,262-670-3200,,2626738943.0,dan.dobner@huhs.org,www.huhs.org,Regular,No,Primarily Classroom (Supplemental Virtual),5506120.0,677.0,Public school
2478,800.0,9,12,Hayward Ctr for Individualized Learning,Hayward Community,13,13,HACIL,Hayward Community,2478,12,800,Combined Elementary/Secondary School,K4,12,Crystal  Hexum,Contact Person,15574 Hwy 77  Hayward WI  54843,15930 W 5th St Hayward WI  54843  ,Hayward,54843.0,,15930 W 5th St Hayward WI  54843  ,Hayward,57,Sawyer,715-934-2112,,7159348080.0,hacil@hayward.k12.wi.us,www.hayward.k12.wi.us,Regular,Charter,Exclusively Virtual,5506270.0,3339.0,Public school
2478,40.0,132,140,Hayward High,Hayward Community,139,118,Hayward Hi,Hayward Community,2478,12,40,High School,09,12,Daniel  Vander Velden,Principal,10320 N Greenwood Ln  Hayward WI  54843-7167,15930 W 5th St Hayward WI  54843  ,Hayward,54843.0,,10320 N Greenwood Ln Hayward WI  54843-7167  ,Hayward,57,Sawyer,715-634-2619,9500.0,7156342761.0,tjohnson@hayward.k12.wi.us,www.hayward.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5506270.0,690.0,Public school
2527,40.0,20,20,Highland Community High,Highland,20,20,Highland Community Hi,Highland,2527,3,40,High School,09,12,Joshua  Tarrell,Principal,1030 Cardinal Dr  Highland WI  53543,1030 Cardinal Dr Highland WI  53543  ,Highland,53543.0,,1030 Cardinal Dr Highland WI  53543  ,Highland,25,Iowa,608-929-4525,411.0,6089294527.0,jtarrell@highland.k12.wi.us,www.highland.k12.wi.us,Regular,Charter,Primarily Classroom (Supplemental Virtual),5506420.0,699.0,Public school
2534,40.0,23,26,Hilbert High,Hilbert,27,37,Hilbert Hi,Hilbert,2534,7,40,High School,09,12,Anthony  Sweere,Principal,1139 W Milwaukee St  Hilbert WI  54129,PO Box 390 Hilbert WI  54129-0390  ,Hilbert,54129.0,390.0,1139 W Milwaukee St Hilbert WI  54129  ,Hilbert,8,Calumet,920-853-3558,,9208537030.0,sweeret@hilbertk12.org,www.hilbert.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5506450.0,701.0,Public school
2541,60.0,30,46,Hillsboro High,Hillsboro,41,41,Hillsboro Hi,Hillsboro,2541,4,60,High School,06,12,Chris  Koopman,Principal,777 School Rd  Hillsboro WI  54634,PO Box 526 Hillsboro WI  54634-0526  ,Hillsboro,54634.0,526.0,777 School Rd Hillsboro WI  54634  ,Hillsboro,62,Vernon,608-489-2221,1504.0,6084892811.0,chris.koopman@hillsboroschools.org,www.hillsboro.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5506480.0,703.0,Public school
2562,40.0,279,283,Holmen High,Holmen,308,287,Holmen Hi,Holmen,2562,4,40,High School,09,12,Wayne  Sackett,Principal,1001 McHugh Rd  Holmen WI  54636,1001 McHugh Rd Holmen WI  54636  ,Holmen,54636.0,,1001 McHugh Rd Holmen WI  54636  ,Holmen,32,La Crosse,608-526-3372,,6085269446.0,sacway@holmen.k12.wi.us,www.holmen.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5506540.0,706.0,Public school
2576,60.0,61,52,Horicon High,Horicon,56,51,Horicon Hi,Horicon,2576,6,60,High School,09,12,Teresa  Graven,Principal,841 Gray St  Horicon WI  53032-1730,841 Gray St Horicon WI  53032-1730  ,Horicon,53032.0,1730.0,841 Gray St Horicon WI  53032-1730  ,Horicon,14,Dodge,920-485-4441,,9204853244.0,tgraven@horicon.k12.wi.us,www.horicon.k12.wi.us,Regular,No,No,5506570.0,712.0,Public school
2583,40.0,272,271,Hortonville High,Hortonville Area,271,264,Hortonville Hi,Hortonville Area,2583,6,40,High School,09,12,Thomas  Ellenbecker,Principal,155 Warner St  Hortonville WI  54944,155 Warner St Hortonville WI  54944  ,Hortonville,54944.0,,155 Warner St Hortonville WI  54944  ,Hortonville,44,Outagamie,920-779-7933,,9207797935.0,thomasellenbecker@hasd.org,www.hasd.org,Regular,No,Primarily Classroom (Supplemental Virtual),5506600.0,715.0,Public school
2604,20.0,502,466,Bay Port High,Howard-Suamico,488,442,Bay Port Hi,Howard-Suamico,2604,7,20,High School,09,12,Michael  Frieder,Principal,2710 Lineville Rd  Green Bay WI  54313-7151,2710 Lineville Rd Green Bay WI  54313-7151  ,Green Bay,54313.0,7151.0,2710 Lineville Rd Green Bay WI  54313-7151  ,Green Bay,5,Brown,920-662-7000,,9206627291.0,michfrie@hssd.k12.wi.us,www.hssd.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5506630.0,716.0,Public school
2605,60.0,70,67,Howards Grove High,Howards Grove,73,64,Howards Grove Hi,Howards Grove,2605,7,60,High School,09,12,Scott  Fritz,Principal,401 Audubon Rd  Howards Grove WI  53083-1274,401 Audubon Rd Howards Grove WI  53083-1274  ,Howards Grove,53083.0,1274.0,401 Audubon Rd Howards Grove WI  53083-1274  ,Howards Grove,59,Sheboygan,920-565-4450,,9205654451.0,sfritz@hgsd.k12.wi.us,www.hgtigers.org,Regular,No,Primarily Classroom (Supplemental Virtual),5506660.0,721.0,Public school
2611,80.0,468,423,Hudson High,Hudson,432,435,Hudson Hi,Hudson,2611,11,80,High School,09,12,Peggy  Shoemaker,Principal,1501 Vine St  Hudson WI  54016-1881,1501 Vine St Hudson WI  54016-1881  ,Hudson,54016.0,1881.0,1501 Vine St Hudson WI  54016-1881  ,Hudson,55,Saint Croix,715-377-3800,6001.0,7153773801.0,shoemapj@hudsonraiders.org,www.hudsonraiders.org,Regular,No,Primarily Classroom (Supplemental Virtual),5506690.0,729.0,Public school
2618,60.0,39,39,Hurley High,Hurley,42,43,Hurley Hi,Hurley,2618,12,60,High School,06,12,Melissa  Oja,Principal Grades 6-12,5503 W Range View Dr  Hurley WI  54534-9000,5503 W Range View Dr Hurley WI  54534-9000  ,Hurley,54534.0,9000.0,5503 W Range View Dr Hurley WI  54534-9000  ,Hurley,26,Iron,715-561-4900,218.0,7155614157.0,oja@hurley.k12.wi.us,www.hurley.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5506750.0,733.0,Public school
2625,40.0,22,36,Hustisford High,Hustisford,41,43,Hustisford Hi,Hustisford,2625,6,40,High School,06,12,Clint  Bushey,Dean of Students,845 S Lake St  Hustisford WI  53034,PO Box 326 Hustisford WI  53034-0326  ,Hustisford,53034.0,326.0,845 S Lake St Hustisford WI  53034  ,Hustisford,14,Dodge,920-349-3261,,9203498495.0,busheyc@hustisford.k12.wi.us,www.hustisford.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5506780.0,738.0,Public school
2632,40.0,40,28,Independence High,Independence,27,31,Independence Hi,Independence,2632,4,40,High School,09,12,Barry R Schmitt,Principal,23786 Indee Blvd  Independence WI  54747-9095,23786 Indee Blvd Independence WI  54747-9095  ,Independence,54747.0,9095.0,23786 Indee Blvd Independence WI  54747-9095  ,Independence,61,Trempealeau,715-985-3172,102.0,7159852303.0,schmittb@indps.k12.wi.us,www.indps.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5506810.0,740.0,Public school
2639,40.0,62,52,Iola-Scandinavia High,Iola-Scandinavia,51,50,Iola-Scandinavia Hi,Iola-Scandinavia,2639,5,40,High School,07,12,Sara  Anderson,Principal,540 S Jackson St  Iola WI  54945-9057,540 S Jackson St Iola WI  54945-9057  ,Iola,54945.0,9057.0,540 S Jackson St Iola WI  54945-9057  ,Iola,68,Waupaca,715-445-2411,1301.0,7154455119.0,andersons@iola.k12.wi.us,www.iola.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5506840.0,742.0,Public school
2646,40.0,49,44,Iowa-Grant High,Iowa-Grant,43,39,Iowa-Grant Hi,Iowa-Grant,2646,3,40,High School,09,12,Chris  Gotto,Principal Grades 9-12,462 County Road IG  Livingston WI  53554-9527,462 County Road IG Livingston WI  53554-9527  ,Livingston,53554.0,9527.0,462 County Road IG Livingston WI  53554-9527  ,Livingston,25,Iowa,608-943-6312,2028.0,6089438707.0,cgotto@igs.k12.wi.us,www.igs.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5506870.0,745.0,Public school
2660,60.0,30,36,Ithaca High,Ithaca,36,38,Ithaca Hi,Ithaca,2660,3,60,High School,09,12,Julie R Prouty,District Administrator,24615 State Hwy 58  Richland Center WI  53581-6642,24615 State Hwy 58 Richland Center WI  53581-6642  ,Richland Center,53581.0,6642.0,24615 State Hwy 58 Richland Center WI  53581-6642  ,Richland Center,52,Richland,608-585-2512,407.0,6085852505.0,julie.prouty@ithaca.k12.wi.us,www.ithaca.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5506960.0,752.0,Public school
2695,860.0,32,28,ARISE Virtual Academy,Janesville,28,16,ARISE Virtual Acad,Janesville,2695,2,860,Combined Elementary/Secondary School,KG,12,David  Parr,Principal,450 N Crosby Ave  Janesville WI  53548-3340,450 N Crosby Ave Janesville WI  53548-3340  ,Janesville,53548.0,3340.0,450 N Crosby Ave Janesville WI  53548-3340  ,Janesville,53,Rock,608-743-6110,,6087417307.0,dparr@janesville.k12.wi.us,www.janesville.k12.wi.us,Regular,Charter,Exclusively Virtual,5507020.0,2991.0,Public school
